Id,Customer ID,Name,Birth Date,Phone No.,Email Id,Credit card,Card Expiry,Address,Zip Code,City,State,Country,Year,Aadhar,Time
1,3EFD4EFD5,Tara Walia,15-08-1998,487647593,tarawalia@hotmail.com,4219489241157811,05/28,H.No. 93 Khare Circle,239110,Saharsa,Himachal Pradesh,India,2011,416097535130,19:56:43
2,4AEA4AEA1,Zaina Magar,26-06-2000,1158714841,zainamagar@hotmail.com,349894719659340,06/25,094- Banerjee Chowk,829676,Bikaner,Chhattisgarh,India,2010,586848339691,19:21:36
3,1DCB6DCB3,Nitara Rege,27-04-1994,1591795330,nitararege@hotmail.com,4352560123098910139,02/32,15- Badami Zila,358576,Jammu,Goa,India,2022,473008691411,20:47:03
4,0BCC4BCC3,Stuvan Kamdar,09-04-1982,870916345,stuvankamdar@hotmail.com,30230225841979,04/25,69- Dugal Circle,355654,Munger,Uttarakhand,India,2021,428071508421,18:07:07
5,9EBA7EBA6,Sumer Ramaswamy,04-08-1989,5992466109,sumerramaswamy@gmail.com,3523376960696025,11/29,H.No. 27- Wali Circle,994857,Kishanganj,Punjab,India,2010,175470638123,05:04:10
6,7ECF9ECF1,Saksham Agarwal,13-07-1984,89131934,sakshamagarwal@yahoo.com,3517610471428512,12/24,H.No. 003 Mallick Road,647989,Ambarnath,Odisha,India,2010,376582369405,16:49:54
7,2CEB4CEB5,Shamik Ganguly,27-12-1994,1590042294,shamikganguly@yahoo.com,6011417304281462,11/27,11 Khosla Circle,540493,Naihati,Uttarakhand,India,2015,771760452298,09:53:02
8,2CAA7CAA1,Chirag Swamy,06-10-1975,3306016884,chiragswamy@yahoo.com,30361534926357,04/24,08/731- Issac Chowk,234568,Dhule,Rajasthan,India,2010,892137658217,13:15:11
9,0CDB2CDB6,Navya Sangha,20-10-1998,8757738930,navyasangha@yahoo.com,3550824926947111,02/31,H.No. 320- Amble Road,584574,Bathinda,West Bengal,India,2012,275868809185,22:12:45
10,4BAD4BAD7,Tanya Chauhan,17-09-1989,8967699300,tanyachauhan@hotmail.com,4894517446660221,05/26,50/076 Korpal Street,530493,Saharanpur,Uttar Pradesh,India,2016,109767017204,20:00:16
11,8CBF4CBF0,Mohanlal Edwin,02-03-1977,8536710979,mohanlaledwin@hotmail.com,349426418306756,07/25,H.No. 10 Kibe Nagar,879676,Indore,Mizoram,India,2021,731886841261,15:04:23
12,9AAE6AAE1,Zeeshan Balay,01-10-1976,6207660754,zeeshanbalay@gmail.com,341505520351921,11/25,104- Sant Path,994857,Mahbubnagar,Haryana,India,2012,871754203556,09:46:48
13,0BDC2BDC9,Ishita Ravi,02-04-1992,2911894262,ishitaravi@gmail.com,4833245602909,01/29,12/648- Shanker Marg,809676,Gudivada,Maharashtra,India,2015,613758066062,12:08:44
14,1ACF6ACF3,Umang Din,16-01-2002,1214189276,umangdin@gmail.com,6523758257173409,12/29,H.No. 341 Mahajan Road,786585,Khandwa,Tamil Nadu,India,2018,573864014002,23:55:26
15,9ADF9ADF8,Ahana  Behl,11-03-1987,5439101448,ahanabehl@yahoo.com,2632164482983810,04/29,44/759 Brar Street,784574,Jamshedpur,Madhya Pradesh,India,2016,628457637781,14:46:51
16,1ACB4ACB9,Ahana  Doctor,20-09-1979,7093057608,ahanadoctor@gmail.com,4605019044329432,02/24,56 Gandhi Street,786565,Raebareli,Chhattisgarh,India,2017,785232756672,20:36:05
17,5CDF9CDF0,Yashvi Chaudhari,23-11-1999,3906031250,yashvichaudhari@hotmail.com,4394918456708865,03/32,47 Ganguly Ganj,599574,Kalyan-Dombivli,Arunachal Pradesh,India,2010,950402163964,07:30:02
18,1DBC4DBC3,Kartik Gara,18-12-1976,9155875408,kartikgara@gmail.com,4138533444869,08/26,H.No. 30 Majumdar Road,786565,Bangalore,Manipur,India,2018,306777111312,08:16:56
19,2EBC5EBC0,Advika Ramesh,02-04-1975,6860237324,advikaramesh@yahoo.com,371849834789787,10/26,019 Chadha Zila,694857,Kulti,Gujarat,India,2014,488601641951,06:51:27
20,7EBE4EBE5,Madhup Shankar,05-05-1986,1845357492,madhupshankar@gmail.com,676185590269,12/24,12/37- Sinha,647989,Noida,Telangana,India,2012,665992719088,02:39:09
